80,3500,2000,1,0.004836422,0.003328139,304692384,302011072,302964512,305209696,309760224,317862656,331569792,287645024,270483552,263981328
,,,,,,,,,,,,,,,
80,4000,2000,1,0.004484475,0.003002151,305627712,301939264,301152672,301426912,303678464,308436224,309396000,280113856,270999488,274168352
,,,,,,,,,,,,,,,
40,2000,2500,1,0.007630376,0.006249202,307736064,298035328,298324576,306000960,324175744,352256512,374893952,221561568,209076736,127741648
,,,,,,,,,,,,,,,
40,2500,2500,1,0.007019341,0.005398139,309424064,298878336,299034816,305686240,320173824,342718272,361796224,216468512,210958608,131253696
,,,,,,,,,,,,,,,
40,3000,2500,1,0.006310343,0.004391247,310137184,299584480,299633792,306159968,318552960,336803168,351441120,212771056,215316288,141472320
,,,,,,,,,,,,,,,
40,3500,2500,1,0.005302777,0.004406295,309901696,299333184,298860224,304787904,316113152,332284288,342671296,210347584,216066912,175333472
,,,,,,,,,,,,,,,
40,4000,2500,1,0.005673565,0.004076688,309276160,298509952,297335808,302247808,312318304,327789760,338384192,216325696,222985344,232166272
,,,,,,,,,,,,,,,
50,2000,2500,1,0.007608091,0.006106916,305151040,298972384,301695488,311305600,331603200,362328768,392916928,235485744,222672880,154246448
,,,,,,,,,,,,,,,
50,2500,2500,1,0.006809461,0.005086744,307436736,300496224,301989184,309133632,324953152,350609088,375010240,223193328,218642720,153654560
,,,,,,,,,,,,,,,
50,3000,2500,1,0.006394144,0.004875181,308670368,301443424,302519328,308709056,321534528,342804512,363959424,220037504,224229872,168174880
,,,,,,,,,,,,,,,
50,3500,2500,1,0.005928815,0.004338746,309095904,301747616,302150112,307553568,318496352,336677472,354612832,219482784,232950496,189620688
,,,,,,,,,,,,,,,
50,4000,2500,1,0.005583466,0.003880865,308901632,301097056,300374336,304411552,313443808,328869792,343946560,221528112,243681824,215685696
,,,,,,,,,,,,,,,
60,2000,2500,1,0.007189656,0.005867217,300893728,299111840,305678144,317058464,337440448,368065920,406651520,253531360,237933088,180777056
,,,,,,,,,,,,,,,
