bead_length,voltage,current,travel_speed,thermol_efficiency,energy_input,bead_width,bead_depth,1,2,3,4,5,6,7,8,9,10
60.0,20.0,100.0,2000.0,0.75,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,20.0,125.0,2000.0,0.8,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,20.0,200.0,2000.0,0.75,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,25.0,100.0,2000.0,0.8,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,25.0,125.0,2000.0,0.8,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,25.0,150.0,2000.0,0.8,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,25.0,160.0,2000.0,0.75,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,30.0,125.0,2000.0,0.8,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,32.0,125.0,2000.0,0.75,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,37.5,100.0,2000.0,0.8,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,40.0,100.0,2000.0,0.75,1000.0,0.003160297,0.001915416,308098944.0,300958496.0,298688384.0,299156864.0,303166176.0,313634752.0,328326528.0,281119392.0,275073824.0,253135328.0
60.0,20.0,100.0,2500.0,0.75,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,20.0,125.0,2500.0,0.8,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,20.0,200.0,2500.0,0.75,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,25.0,100.0,2500.0,0.8,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,25.0,125.0,2500.0,0.8,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,25.0,150.0,2500.0,0.8,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,25.0,160.0,2500.0,0.75,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,30.0,125.0,2500.0,0.8,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,32.0,125.0,2500.0,0.75,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,37.5,100.0,2500.0,0.8,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,40.0,100.0,2500.0,0.75,1000.0,0.002635094,0.001453138,309611648.0,301468160.0,299335616.0,299651008.0,304328576.0,313374112.0,306050368.0,259322432.0,195206112.0,195270592.0
60.0,20.0,100.0,3000.0,0.75,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,20.0,125.0,3000.0,0.8,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,20.0,200.0,3000.0,0.75,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,25.0,100.0,3000.0,0.8,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,25.0,125.0,3000.0,0.8,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,25.0,150.0,3000.0,0.8,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,25.0,160.0,3000.0,0.75,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,30.0,125.0,3000.0,0.8,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,32.0,125.0,3000.0,0.75,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,37.5,100.0,3000.0,0.8,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,40.0,100.0,3000.0,0.75,1000.0,0.002142411,0.001056164,310387456.0,302273728.0,300214528.0,300273920.0,306003360.0,310553760.0,274443776.0,217748496.0,147860320.0,177073088.0
60.0,20.0,100.0,3500.0,0.75,1000.0,0.001741217,0.000673827,311882240.0,303663104.0,303568416.0,305823200.0,315376416.0,313547520.0,254674080.0,175441168.0,59789880.0,150748320.0
60.0,20.0,125.0,3500.0,0.8,1000.0,0.001741217,0.000673827,311882240.0,303663104.0,303568416.0,305823200.0,315376416.0,313547520.0,254674080.0,175441168.0,59789880.0,150748320.0
60.0,20.0,200.0,3500.0,0.75,1000.0,0.001741217,0.000673827,311882240.0,303663104.0,303568416.0,305823200.0,315376416.0,313547520.0,254674080.0,175441168.0,59789880.0,150748320.0
60.0,25.0,100.0,3500.0,0.8,1000.0,0.001741217,0.000673827,311882240.0,303663104.0,303568416.0,305823200.0,315376416.0,313547520.0,254674080.0,175441168.0,59789880.0,150748320.0
60.0,25.0,125.0,3500.0,0.8,1000.0,0.001741217,0.000673827,311882240.0,303663104.0,303568416.0,305823200.0,315376416.0,313547520.0,254674080.0,175441168.0,59789880.0,150748320.0
60.0,25.0,150.0,3500.0,0.8,1000.0,0.001741217,0.000673827,311882240.0,303663104.0,303568416.0,305823200.0,315376416.0,313547520.0,254674080.0,175441168.0,59789880.0,150748320.0
60.0,25.0,160.0,3500.0,0.75,1000.0,0.001741217,0.000673827,311882240.0,303663104.0,303568416.0,305823200.0,315376416.0,313547520.0,254674080.0,175441168.0,59789880.0,150748320.0
60.0,30.0,125.0,3500.0,0.8,1000.0,0.001741217,0.000673827,311882240.0,303663104.0,303568416.0,305823200.0,315376416.0,313547520.0,254674080.0,175441168.0,59789880.0,150748320.0
