,Travel_length,Welding_speed,Net_energy_input,Position,Stress
491,70,3500,2000,2.55,347.1457313
492,80,3500,1000,2.55,318.1004417
493,50,2500,2000,2.55,337.7383297
494,50,3000,1500,2.55,345.5395317
495,40,3500,2000,2.55,346.5773008
496,80,4000,2500,2.55,349.1139029
497,50,2500,1500,2.55,341.9720729
498,50,2000,3000,2.55,333.5987352
499,70,3000,1000,2.55,324.0150395
500,50,3500,3000,3.4,349.8906951
501,80,3000,1500,3.4,332.1135537
502,60,3500,1500,3.4,333.5164157
503,60,3000,1500,3.4,331.7220734
504,40,2500,2500,3.4,340.1760743
505,60,2500,2000,3.4,343.7823175
506,50,4000,2000,3.4,356.3663872
507,40,3000,1500,3.4,331.9470705
508,60,2500,2500,3.4,342.3692077
509,70,2500,2500,3.4,343.1961306
510,40,2000,1000,3.4,288.0357341
511,70,2000,2000,3.4,337.1641331
512,60,4000,1000,3.4,286.0635551
513,40,2500,1000,3.4,287.9468208
514,70,2000,1000,3.4,292.7838442
515,50,2500,3000,3.4,340.4986029
516,40,3000,3000,3.4,344.8664787
517,80,3500,1500,3.4,333.2877937
518,50,2500,2500,3.4,341.2113479
519,70,3500,3000,3.4,351.2283348
520,50,3000,1000,3.4,287.9851781
521,80,2500,2000,3.4,344.1061882
522,60,2000,3000,3.4,338.0091399
523,60,3000,1000,3.4,289.4638066
524,60,2000,1500,3.4,341.3602522
525,70,2000,1500,3.4,342.2680065
526,50,2500,1000,3.4,290.2215875
527,40,4000,2500,3.4,358.6605709
528,70,3500,1500,3.4,333.8534321
529,80,2000,2500,3.4,337.0762317
530,50,4000,2500,3.4,354.7667328
531,80,3500,2500,3.4,352.5820909
532,60,3500,2000,3.4,354.1004736
533,70,2000,3000,3.4,338.3768704
534,60,3500,2500,3.4,352.616745
535,60,3000,2000,3.4,352.5404788
536,40,2500,1500,3.4,332.0197438
537,80,2500,3000,3.4,342.0662087
538,50,3000,2000,3.4,351.2826855
539,70,4000,2500,3.4,356.1271668
540,50,2000,1000,3.4,290.1054237
541,40,2500,3000,3.4,338.8503738
542,80,2500,1500,3.4,343.3136871
543,40,3000,2500,3.4,347.4278471
544,50,3500,2500,3.4,351.7662592
545,60,2000,1000,3.4,291.9822109
546,40,3500,1000,3.4,284.0973746
547,40,3000,1000,3.4,288.3322462
548,70,4000,1000,3.4,287.473454
549,40,3500,3000,3.4,349.2524212
550,80,4000,1000,3.4,286.625966
551,50,2000,1500,3.4,339.6601997
552,40,2000,1500,3.4,338.4778804
553,60,3500,3000,3.4,350.7292378
554,60,4000,2500,3.4,359.8635917
555,70,2500,3000,3.4,342.7810208
556,60,4000,3000,3.4,355.8280903
557,70,2000,2500,3.4,337.9127181
558,50,3500,1000,3.4,286.4066911
559,40,4000,1500,3.4,316.5260963
560,80,4000,1500,3.4,319.415041
561,60,2500,3000,3.4,341.8989312
562,60,2500,1500,3.4,340.0288684
563,80,3500,3000,3.4,350.7999642
564,70,2500,2000,3.4,344.5084071
565,60,2500,1000,3.4,291.9344944
566,40,2000,2500,3.4,334.1483591
567,70,3500,2500,3.4,353.0158657
568,70,3500,1000,3.4,288.8736671
569,80,2000,1500,3.4,342.0196276
570,40,4000,2000,3.4,346.9879691
571,60,4000,2000,3.4,349.0729368
572,70,3000,1500,3.4,338.1099326
573,80,2000,2000,3.4,336.9147124
574,50,3500,2000,3.4,353.0641133
575,40,3500,2500,3.4,350.7693082
576,80,3000,3000,3.4,346.9556877
577,80,4000,3000,3.4,355.5882631
578,60,2000,2500,3.4,337.9938765
579,60,2000,2000,3.4,336.1134163
580,70,4000,2000,3.4,357.9105792
581,80,3000,1000,3.4,290.3409144
582,80,3500,2000,3.4,354.1304615
583,50,2000,2500,3.4,336.0918899
584,80,3000,2500,3.4,348.9786125
585,40,2000,3000,3.4,333.5673997
586,70,4000,1500,3.4,320.7285335
587,80,4000,2000,3.4,349.3057522
588,40,3000,2000,3.4,350.6211495
589,40,4000,3000,3.4,354.8024186
590,70,2500,1500,3.4,343.7957018
591,50,3000,2500,3.4,347.8052333
592,80,2000,3000,3.4,337.2352429
593,80,2500,1000,3.4,292.2951971
594,80,3000,2000,3.4,352.9318196
595,80,2500,2500,3.4,342.7746234
596,60,4000,1500,3.4,319.2455805
597,40,2000,2000,3.4,333.1438221
598,50,3500,1500,3.4,332.1748977
599,70,3000,3000,3.4,347.3761773
600,60,3000,3000,3.4,346.7773588
601,60,3000,2500,3.4,348.81525
602,50,3000,3000,3.4,345.6405875
603,70,4000,3000,3.4,356.0601479
604,40,3500,1500,3.4,331.1774538
605,50,4000,1000,3.4,285.0117707
606,40,4000,1000,3.4,281.5348261
607,70,3000,2000,3.4,353.2153134
608,60,3500,1000,3.4,288.246524
609,50,4000,3000,3.4,354.9212384
610,70,3000,2500,3.4,346.6445428
611,50,2000,2000,3.4,334.6215379
612,70,2500,1000,3.4,292.7488291
613,80,2000,1000,3.4,292.4197322
614,50,4000,1500,3.4,318.7320112
615,40,2500,2000,3.4,341.1500531
616,70,3500,2000,3.4,354.6468045
617,80,3500,1000,3.4,288.7745996
618,50,2500,2000,3.4,342.6129703
619,50,3000,1500,3.4,330.7982999
620,40,3500,2000,3.4,352.5626624
621,80,4000,2500,3.4,360.0335246
622,50,2500,1500,3.4,334.7656357
623,50,2000,3000,3.4,336.6900531
624,70,3000,1000,3.4,293.2760952
625,50,3500,3000,4.25,352.4173072
626,80,3000,1500,4.25,293.9291844
627,60,3500,1500,4.25,290.8585773
628,60,3000,1500,4.25,292.1185333
629,40,2500,2500,4.25,344.3387269
630,60,2500,2000,4.25,343.1243223
631,50,4000,2000,4.25,320.8057898
632,40,3000,1500,4.25,291.885379
633,60,2500,2500,4.25,346.8000125
634,70,2500,2500,4.25,348.2421309
635,40,2000,1000,4.25,267.3753433
636,70,2000,2000,4.25,340.0454009
637,60,4000,1000,4.25,272.076191
638,40,2500,1000,4.25,266.7005493
639,70,2000,1000,4.25,273.8048921
640,50,2500,3000,4.25,343.530795
641,40,3000,3000,4.25,349.3716613
642,80,3500,1500,4.25,291.9164732
643,50,2500,2500,4.25,345.2149437
644,70,3500,3000,4.25,354.8359944
645,50,3000,1000,4.25,271.1722352
646,80,2500,2000,4.25,345.0143759
647,60,2000,3000,4.25,340.735995
648,60,3000,1000,4.25,273.3254212
649,60,2000,1500,4.25,312.9166119
650,70,2000,1500,4.25,314.3960287
651,50,2500,1000,4.25,269.5520421
652,40,4000,2500,4.25,336.8527477
653,70,3500,1500,4.25,291.9012677
654,80,2000,2500,4.25,341.8565678
655,50,4000,2500,4.25,349.7984756
656,80,3500,2500,4.25,354.580831
657,60,3500,2000,4.25,322.7145712
658,70,2000,3000,4.25,342.047439
659,60,3500,2500,4.25,353.0968478
660,60,3000,2000,4.25,327.9644654
661,40,2500,1500,4.25,295.9330606
662,80,2500,3000,4.25,347.0675173
663,50,3000,2000,4.25,326.7347686
664,70,4000,2500,4.25,351.7209468
665,50,2000,1000,4.25,269.8085169
666,40,2500,3000,4.25,342.0329966
667,80,2500,1500,4.25,308.3815782
668,40,3000,2500,4.25,348.793341
669,50,3500,2500,4.25,351.7586094
670,60,2000,1000,4.25,272.2945185
671,40,3500,1000,4.25,267.7665867
672,40,3000,1000,4.25,269.7702621
673,70,4000,1000,4.25,273.7323406
674,40,3500,3000,4.25,352.0430408
675,80,4000,1000,4.25,273.7304422
676,50,2000,1500,4.25,310.7586359
677,40,2000,1500,4.25,308.4926687
678,60,3500,3000,4.25,353.6046032
679,60,4000,2500,4.25,337.9620053
680,70,2500,3000,4.25,346.9960149
681,60,4000,3000,4.25,357.7912547
682,70,2000,2500,4.25,341.5248703
683,50,3500,1000,4.25,270.5056799
684,40,4000,1500,4.25,287.8726902
685,80,4000,1500,4.25,292.2592077
686,60,2500,3000,4.25,345.456607
687,60,2500,1500,4.25,305.2305104
688,80,3500,3000,4.25,355.1605304
689,70,2500,2000,4.25,344.6112399
690,60,2500,1000,4.25,271.9914048
691,40,2000,2500,4.25,336.690512
692,70,3500,2500,4.25,354.3043566
693,70,3500,1000,4.25,274.2269719
694,80,2000,1500,4.25,314.8053678
695,40,4000,2000,4.25,310.8088282
696,60,4000,2000,4.25,312.5212602
697,70,3000,1500,4.25,297.5382839
698,80,2000,2000,4.25,340.4225281
699,50,3500,2000,4.25,321.5109664
700,40,3500,2500,4.25,351.0464966
701,80,3000,3000,4.25,353.1294476
702,80,4000,3000,4.25,359.1802243
703,60,2000,2500,4.25,340.97596
704,60,2000,2000,4.25,338.5078921
705,70,4000,2000,4.25,322.7302729
706,80,3000,1000,4.25,275.2109607
707,80,3500,2000,4.25,323.5919255
708,50,2000,2500,4.25,338.5834168
709,80,3000,2500,4.25,351.6136931
710,40,2000,3000,4.25,336.366259
711,70,4000,1500,4.25,292.8780454
712,80,4000,2000,4.25,313.4865401
713,40,3000,2000,4.25,326.7972437
